,Predictions,Scores,TER scores,Z_scores
0,Treffen der Premierminister Indiens und Japans in Tokio,-1.4762018999999997,0.0,-1.4762018999999997
1,Treffen der Staats- und Regierungschefs Indiens und Japans in Toki,-1.7330838,0.4,-1.3330837999999998
2,Treffen der Premierminister von Indien und Japan in Tokio,-1.8616036,0.10909090909090909,-1.752512690909091
3,Treffen der Ministerpräsidenten Indiens und Japans in Tokio,-1.9145225,0.21818181818181817,-1.6963406818181817
4,In Tokio treffen sich die Premierminister Indiens und Japans,-2.083656,0.2545454545454545,-1.8291105454545455
5,Treffen der Ministerpräsidenten von Indien und Japan in Tokio,-2.1090052000000004,0.32727272727272727,-1.7817324727272732
6,Treffen der Staats- und Regierungschefs von Indien und Japan in Toki,-2.1392176,0.509090909090909,-1.6301266909090908
7,Treffen der Premierminister Indiens und Japans in Tokyo,-2.288987,0.01818181818181818,-2.270805181818182
8,In Tokio treffen sich die Ministerpräsidenten Indiens und Japans,-2.3064785,0.5272727272727272,-1.7792057727272725
9,In Tokio treffen sich die Premierminister von Indien und Japan,-2.3216565,0.5272727272727272,-1.7943837727272727
10,Treffen der Staats- und Regierungschefs Indiens und Japans in Tokyo,-2.3499508,0.4,-1.9499507999999999
11,In Tokio treffen sich Premierminister aus Indien und Japan,-2.351009,0.32727272727272727,-2.0237362727272727
12,In Tokio treffen sich die Ministerpräsidenten von Indien und Japan,-2.4165373,0.4727272727272727,-1.9438100272727272
13,Indiens und Japans Premierminister treffen sich in Tokio,-2.4174130000000003,0.2545454545454545,-2.162867545454546
14,In Tokio treffen sich die Staats- und Regierungschefs Indiens,-2.4375286,0.6181818181818182,-1.8193467818181817
15,Premierminister von Indien und Japan treffen sich in Tokio,-2.4485035,0.2545454545454545,-2.1939580454545458
16,Die Premierminister Indiens und Japans treffen sich in Tokio,-2.4489278999999997,0.18181818181818182,-2.267109718181818
17,Treffen der Minister Indiens und Japans in Tokio,-2.4687307,0.14545454545454545,-2.3232761545454546
18,Treffen der Premierminister aus Indien und Japan in Tokio,-2.5435232999999995,0.09090909090909091,-2.4526142090909087
19,Treffen der indischen und japanischen Ministerpräsidenten in Tokio,-2.5499318,0.5272727272727272,-2.0226590727272726
20,In Tokio treffen sich Staats- und Regierungschefs aus Indien und,-2.5708227000000003,0.6909090909090909,-1.8799136090909094
21,In Tokio treffen sich Premierminister Indiens und Japans,-2.5918841,0.18181818181818182,-2.4100659181818185
22,Treffen der indischen und japanischen Premierminister in Tokio,-2.5998394,0.2,-2.3998394
23,Vertreter Indiens und Japans treffen sich in Tokio,-2.6251314,0.32727272727272727,-2.2978586727272727
24,Treffen der Ministerpräsidenten aus Indien und Japan in Tokio,-2.6311455,0.3090909090909091,-2.322054590909091
25,In Tokio treffen sich Premierminister von Indien und Japan,-2.6384232000000005,0.2909090909090909,-2.3475141090909095
